trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
667070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
3126010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
3197070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
3311020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
39070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
652020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
482070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
854020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
886070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
2104020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
2828020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
3245020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
2901020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
2440020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
362010,495,1,"Oakland Mall",,1,24962,shp-495-01,1,1
2706020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
3145070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
3186010,495,1,"Oakland Mall",,1,24962,shp-495-01,1,1
2783010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
3280020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
2307020,495,3,"Oakland Mall",,1,24972,shp-495-01,1,1
2348070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
2325010,495,1,"Oakland Mall",,1,24962,shp-495-01,1,1
311020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
3024010,495,1,"Oakland Mall",,1,24962,shp-495-01,1,1
1146070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
1177020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
10070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
1564010,495,1,"Oakland Mall",,1,24972,shp-495-01,1,1
634020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
3299070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
3273020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
7020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
3372010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
3356020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
288010,495,1,"Oakland Mall",,1,24962,shp-495-01,1,1
2755020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
273010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
2418020,495,3,"Oakland Mall",,1,24982,shp-495-01,1,1
2420010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
2438070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
363020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
365020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
2944020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
2668070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
643070,495,2,"Oakland Mall",,1,24972,shp-495-01,1,1
45020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
3105020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
1877070,495,2,"Oakland Mall",,1,24962,shp-495-01,1,1
2172070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
237020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
1387020,495,3,"Oakland Mall",,1,24972,shp-495-01,1,1
140070,495,2,"Oakland Mall",,1,24982,shp-495-01,1,1
860070,495,2,"Oakland Mall",,1,24962,shp-495-01,1,1
740070,495,2,"Oakland Mall",,1,24962,shp-495-01,1,1
167020,495,3,"Oakland Mall",,1,24972,shp-495-01,1,1
1563020,510,3,"Bel Air Center",,0,85118,shp-510-51,1,1
1763070,510,2,"Bel Air Center",,0,85158,shp-510-51,1,1
1701070,510,2,"Bel Air Center",,0,85148,shp-510-51,1,1
766020,510,3,"Bel Air Center",,0,85188,shp-510-61,1,1
2809070,510,2,"Bel Air Center",,0,85138,shp-510-61,1,1
2179020,510,3,"Bel Air Center",,0,85218,shp-510-51,1,1
2202020,510,3,"Bel Air Center",,0,85128,shp-510-61,1,1
2293020,510,3,"Bel Air Center",,0,85158,shp-510-61,1,1
3131020,510,3,"Bel Air Center",,0,85178,shp-510-61,1,1
478020,510,3,"Bel Air Center",,0,85218,shp-510-51,1,1
366070,510,2,"Bel Air Center",,0,85178,shp-510-51,1,1
2765020,510,3,"Bel Air Center",,0,85168,shp-510-51,1,1
2840070,510,2,"Bel Air Center",,0,85198,shp-510-51,1,1
2888020,510,3,"Bel Air Center",,0,85148,shp-510-51,1,1
355070,510,2,"Bel Air Center",,0,85138,shp-510-61,1,1
2328070,510,2,"Bel Air Center",,0,85198,shp-510-51,1,1
2376010,510,1,"Bel Air Center",,0,85108,shp-510-61,1,1
2565020,510,3,"Bel Air Center",,0,85188,shp-510-61,1,1
2835070,510,2,"Bel Air Center",,0,85188,shp-510-61,1,1
437020,510,3,"Bel Air Center",,0,85158,shp-510-61,1,1
746020,510,3,"Bel Air Center",,0,85138,shp-510-61,1,1
509020,510,3,"Bel Air Center",,0,85208,shp-510-51,1,1
943070,510,2,"Bel Air Center",,0,85178,shp-510-51,1,1
3255070,510,2,"Bel Air Center",,0,85158,shp-510-51,1,1
3133070,510,2,"Bel Air Center",,0,85138,shp-510-61,1,1
3017020,510,3,"Bel Air Center",,0,85218,shp-510-51,1,1
3089070,510,2,"Bel Air Center",,0,85208,shp-510-61,1,1
52070,510,2,"Bel Air Center",,0,85178,shp-510-51,1,1
721070,510,2,"Bel Air Center",,0,85128,shp-510-61,1,1
2128070,510,2,"Bel Air Center",,0,85198,shp-510-51,1,1
1090070,510,2,"Bel Air Center",,0,85178,shp-510-51,1,1
2854020,510,3,"Bel Air Center",,0,85128,shp-510-61,1,1
2950020,510,3,"Bel Air Center",,0,85118,shp-510-51,1,1
3022020,510,3,"Bel Air Center",,0,85198,shp-510-61,1,1
2359070,510,2,"Bel Air Center",,0,85158,shp-510-51,1,1
2297020,510,3,"Bel Air Center",,0,85118,shp-510-51,1,1
3036020,510,3,"Bel Air Center",,0,85158,shp-510-61,1,1
3147020,510,3,"Bel Air Center",,0,85178,shp-510-61,1,1
276020,510,3,"Bel Air Center",,0,85108,shp-510-51,1,1
2684070,510,2,"Bel Air Center",,0,85188,shp-510-61,1,1
3164010,510,1,"Bel Air Center",,0,85128,shp-510-61,1,1
3394010,510,1,"Bel Air Center",,0,85118,shp-510-51,1,1
3344010,510,1,"Bel Air Center",,0,85118,shp-510-51,1,1
2894020,510,3,"Bel Air Center",,0,85108,shp-510-61,1,1
2692020,510,3,"Bel Air Center",,0,85148,shp-510-51,1,1
